1khdD02	1u14A00
1khdD02	3w4sA00
1qynD00	6xrbA01
1r3eA01	1sq1A00
1rerA01	5gvyA00
1rozB00	2d2rA00
1rozB00	2yvtA00
1yc9A01	3zuxA00
1yc9A01	1kplA00
1yc9A01	2wocA00
1yc9A01	3ayfA01
2ahnA00	1tmxB00
2ahuA01	2b3yA05
2g2cA00	2ppwA00
2nqlA02	5kbpA01
2osoA00	4u99B00
2oy7A02	4aygB01
2pplA02	1kshB00
2qh9A00	8p4iG01
2qtsA02	3i5dA02
3c0tA00	2bvfA03
3c0tA00	1ulvA01
3c0tA00	5u81A01
4xk8d00	6jbzA00
5aycA00	1e2rA02
5aycA00	1q7fB00
5aycA00	1u4cB00
5ex0A01	2h21B01
5exeB01	2hoxA02
5f3mA00	3d7jA00
5f3mA00	3d2oA00
5tipA01	1ruyH02
5ukgA01	1dmlA00
6fkfB03	4xd7C03
1bqgA01	4jgwA01
1fod100	1sva400
1i72A00	4jmdA00
1i72A00	2x27X00
1i72A00	5e4bA00
6nirC02	1r6zA03
7clgA01	6aefA01
7mqvC02	1ekuB02
8b6jb01	3b8oA01
4bg7A00	1dwnA00
4cq7A00	2qlkA00
4cq7A00	1lkfA00
4gf3A00	1e7uA04
4h7wA00	2ilxA00
4lkbE00	6sj5A01
3gxhA00	2nooA02
3gxhA00	5yh1A01
3hd6A00	2nwlC00
3hd6A00	2zxeA02
3hd6A00	3nf2A00
3ia8A00	2yzyA00
3l0aA00	1bo7A00
3l4gB02	2q2eB01
3levA00	1sigA00
3pnxA00	1kicB00
3pnxA00	3dmeA01
3pwxA01	2nrjA01
3pwxA01	2efkA01
3pwxA01	8iprA01
